Real
2.07
2.062
1.918
3.238
2.864
2.26
0.522
0.76
0.904
1.004
1.816
1.202
1.852
3.056
3.136
2.114
1.644
1.71
2.508
3.408
1.8
3.36
3.894
4.842
5.244
2.346
4.22
2.214
2.332
2.548
3.848
3.898
3.124
3.026
2.06
3.858
4.306
3.552
3.216
3.922
4.45
3.478
3.886
5.274
4.726
3.23
2.298
2.278
3.06
4.384
6.432
7.858
5.648
4.544
5.55
5.386
7.172
8.086
6.798
0.354
4.966
6.32
6.526
8.048
5.756
7.848
7.066
7.062
8.012
7.536
6.596
8.644
8.1
7.152
7.114
8.28
8.748
10.35
2.59
5.286
7.16
8.278
8.796
9.342
10.26
2.24
3.236
6.9
9.62
11.206
11.448
11.074
1.636
9.3
10.232
11.306
11.188
10.25
11.186
11.804
11.556
2.91
7.286
8.662
10.31
7.646
6.664
9.858
9.96
10.666
10.96
10.772
10.77
11.896
12.752
11.402
9.516
10.894
9.372
7.722
3.714
10.966
11.156
2.734
12.446
11.304
8.602
7.154
11.83
8.954
11.838
12.036
12.022
12.36
3.532
0.3
5.608
11.084
13.204
6.416
7.084
12.506
11.708
11.344
8.998
11.092
7.15
6.978
6.104
8.42
10.022
10.17
11.884
3.776
10.74
12.092
11.194
10.608
11.202
10.766
7.048
10.528
11.464
10.294
11.21
9.212
12.496
10.104
7.352
12.086
10.61
12.168
10.902
10.582
10.94
11.898
9.758
9.002
10.232
9.278
10.348
11.636
12
4.828
3.216
11.176
11.546
10.112
9.918
11.418
9.74
7.696
10.646
10.982
10.56
7.994
10.114
10.156
8.892
9.49
11.478
10.858
10.222
10.452
9.004
8.252
10.716
10.184
10.336
9.134
10.638
8.998
4.392
9.232
10.974
10.87
10.896
10.644
10.832
8.838
11.876
12.25
12.144
8.416
11.824
12.18
11.374
12.006
7.588
11.016
13.218
12.442
3.664
11.918
4.47
3.98
9.852
10.622
7.45
12.818
12.204
13.242
2.69
10.466
13.036
14.56
15.184
14.042
7.042
1.178
11.99
13.222
13.328
13.766
13.08
12.614
12.646
12.718
13.51
13.83
12.54
10.596
9.514
7.432
10.58
13.218
13.664
13.542
13.616
11.354
7.302
5.252
13.082
12.176
13.204
13.926
7.594
10.248
7.41
10.308
6.074
11.336
3.48
11.192
11.64
12.562
12.85
11.29
7.82
6.438
7.526
8.604
9.734
10.014
11.18
10.384
9.84
10.66
11.468
11.236
11.618
11.844
10.536
8.61
10.632
11.508
11.33
11.29
11.95
11.27
10.56
1.796
3.904
7.078
8.1
8.068
7.962
8.412
9.348
9.772
9.51
9.598
10.072
8.238
6.226
6.234
6.186
7.268
7.666
7.408
6.572
6.248
8.454
2.648
5.412
6.152
6.342
5.46
5.494
7.536
7.892
7.932
8.086
6.766
6.562
4.37
5.814
5.034
5.994
7.146
4.468
2.316
1.77
5.364
6.468
6.436
6.668
5.02
1.946
1.62
3.83
4.51
4.49
4.444
3.616
